longen	exp_group	start_date	end_date	measure_date	volume
CRC0343LMX0A03012SCR000000	CRC0343LMX20120424.0	2012-05-28 12:01:20+00:00	2012-07-10 12:01:20+00:00	2012-04-27	267.304
CRC0343LMX0A03012SCR000000	CRC0343LMX20120424.0	2012-05-28 12:01:20+00:00	2012-07-10 12:01:20+00:00	2012-05-07	133.191
CRC0343LMX0A03012SCR000000	CRC0343LMX20120424.0	2012-05-28 12:01:20+00:00	2012-07-10 12:01:20+00:00	2012-05-16	113.454
CRC0343LMX0A03012SCR000000	CRC0343LMX20120424.0	2012-05-28 12:01:20+00:00	2012-07-10 12:01:20+00:00	2012-05-21	133.558
CRC0343LMX0A03012SCR000000	CRC0343LMX20120424.0	2012-05-28 12:01:20+00:00	2012-07-10 12:01:20+00:00	2012-05-28	614.04
CRC0343LMX0A03012SCR000000	CRC0343LMX20120424.0	2012-05-28 12:01:20+00:00	2012-07-10 12:01:20+00:00	2012-06-04	948.752
CRC0343LMX0A03012SCR000000	CRC0343LMX20120424.0	2012-05-28 12:01:20+00:00	2012-07-10 12:01:20+00:00	2012-06-11	1974.856
CRC0343LMX0A03012SCR000000	CRC0343LMX20120424.0	2012-05-28 12:01:20+00:00	2012-07-10 12:01:20+00:00	2012-06-18	2655.762
CRC0343LMX0A03012SCR000000	CRC0343LMX20120424.0	2012-05-28 12:01:20+00:00	2012-07-10 12:01:20+00:00	2012-06-25	3660.741
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-06-03	62.1
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-06-10	23.578
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-06-17	38.792
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-06-25	115.003
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-07-01	251.367
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-07-08	491.454
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-07-15	383.446
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-07-22	432.173
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-07-29	385.079
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-08-05	225.773
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-08-12	353.839
CRC0537LMX0B03006SCR000000	CRC0537LMX0B.2013-05-29.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-08-19	318.348
CRC0525LMX0A03003SCR000000	CRC0525LMX0A.2013-06-04.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-06-17	42.507
CRC0525LMX0A03003SCR000000	CRC0525LMX0A.2013-06-04.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-06-25	164.872
CRC0525LMX0A03003SCR000000	CRC0525LMX0A.2013-06-04.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-07-01	324.461
CRC0525LMX0A03003SCR000000	CRC0525LMX0A.2013-06-04.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-07-08	601.553
CRC0525LMX0A03003SCR000000	CRC0525LMX0A.2013-06-04.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-07-15	1215.218
CRC0525LMX0A03003SCR000000	CRC0525LMX0A.2013-06-04.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-07-22	1527.472
CRC0525LMX0A03003SCR000000	CRC0525LMX0A.2013-06-04.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-07-29	1380.317
CRC0525LMX0A03003SCR000000	CRC0525LMX0A.2013-06-04.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-08-05	638.264
CRC0525LMX0A03003SCR000000	CRC0525LMX0A.2013-06-04.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-08-12	1014.407
CRC0525LMX0A03003SCR000000	CRC0525LMX0A.2013-06-04.0	2013-07-09 08:30:00+00:00	2013-08-21 08:30:00+00:00	2013-08-19	1640.671
